CLI,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d
10000, 36 months,7.9,312.91,A,A4,1 year,RENT,43000,Not Verified,Fully Paid,25.26,0,3-Jun,0,,,8,0,8215,37.2,16,0,0,11264.00958,11264.01,10000,1264.01,0,0,0,4.84,15-Jan
12000, 36 months,9.91,386.7,B,B1,1 year,RENT,50000,Not Verified,Fully Paid,16.44,0,Jan-00,1,,,11,0,14335,29.3,25,0,0,13920.02507,13920.03,12000,1920.03,0,0,0,392.03,15-Jan
25000, 60 months,13.49,575.12,C,C1,10+ years,MORTGAGE,67000,Verified,Charged Off,14.15,0,Aug-99,0,28,,6,0,15319,91.2,21,0,0,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,1179,15-Jul
19750, 36 months,10.65,643.33,B,B2,4 years,RENT,45000,Verified,Charged Off,22.8,0,Sep-00,0,56,,12,0,16576,54.2,28,0,0,11930.65,11915.62,8590.58,2698.78,0,641.29,6.412899997,787.01,13-Nov
10000, 36 months,9.91,322.25,B,B1,3 years,RENT,31200,Source Verified,Fully Paid,14.81,0,5-Oct,0,,,13,0,5540,27,19,0,0,10904.24,10904.24,10000,904.24,0,0,0,6912.69,15-Mar
13650, 36 months,12.42,456.12,B,B4,4 years,RENT,66000,Verified,Fully Paid,24.09,0,1-Feb,0,74,,11,0,8933,56.5,34,0,0,16011.18,16011.18,13650,2361.18,0,0,0,5980.83,16-Jan
11800, 60 months,19.91,312.04,E,E4,10+ years,RENT,52000,Verified,Charged Off,20.7,0,Dec-88,0,,,10,0,29178,87.6,16,0,0,12173.07,12147.29,4281.54,4759.37,0,3132.16,563.7888,312.04,14-Sep
18000, 36 months,7.9,563.23,A,A4,10+ years,RENT,56964,Source Verified,Fully Paid,27.55,0,Feb-99,0,,,7,0,17381,76.6,20,0,0,20275.33655,20275.34,18000,2275.34,0,0,0,567.29,16-Jan
2500, 36 months,14.27,85.78,C,C2,7 years,RENT,49500,Source Verified,Fully Paid,10.33,0,4-Nov,1,52,,7,0,9868,37.7,20,0,0,2529.9,2529.9,2500,29.9,0,0,0,2530.74,12-Feb
21000, 60 months,20.3,559.89,E,E5,10+ years,RENT,70000,Verified,Fully Paid,23.21,0,Dec-91,2,,,17,0,12508,70.7,25,0,0,27085.42,24851.07,21000,6085.42,0,0,0,17029.75,16-Jan
35000, 36 months,8.9,1111.37,A,A5,6 years,MORTGAGE,125000,Verified,Fully Paid,22.71,0,Aug-00,0,,,8,0,9051,34.8,32,0,0,40006.54992,40006.55,35000,5006.55,0,0,0,1123.85,14-Dec
10000, 36 months,7.51,311.11,A,A3,3 years,RENT,33000,Not Verified,Fully Paid,9.75,0,4-Oct,1,,,9,0,68,0.6,19,0,0,11027.3,11027.3,10000,1027.3,0,0,0,4190.34,13-Nov
7000, 36 months,12.69,234.82,B,B5,< 1 year,RENT,30000,Source Verified,Fully Paid,15.8,0,4-Aug,2,,,7,0,15455,47.6,11,0,0,8452.256793,8452.26,7000,1452.26,0,0,0,238.06,15-Jan
24000, 36 months,15.96,843.3,C,C5,8 years,MORTGAGE,90000,Source Verified,Charged Off,9.17,0,Jun-95,1,,,9,0,30952,71.2,23,0,0,5895.68,5895.68,3813.57,2082.11,0,0,0,843.3,16-Jan
10625, 36 months,7.51,330.56,A,A3,5 years,MORTGAGE,23000,Not Verified,Fully Paid,18.89,0,5-Feb,1,,,9,0,7114,43.4,21,0,0,11841.94071,11841.94,10625,1216.94,0,0,0,2594.01,15-Oct
5000, 36 months,14.65,172.48,C,C3,2 years,RENT,24000,Source Verified,Fully Paid,18.3,0,5-Nov,2,24,,5,0,2429,33.3,9,0,0,5682.08,5682.08,5000,682.08,0,0,0,3615.46,16-Jan
8850, 36 months,6.62,271.73,A,A2,10+ years,RENT,62000,Source Verified,Fully Paid,17.71,0,Sep-98,0,,,7,0,9466,35.9,19,0,0,9781.605755,9781.61,8850,931.61,0,0,0,5.67,16-Jan
6375, 36 months,7.51,198.34,A,A3,4 years,RENT,44000,Source Verified,Fully Paid,4.8,0,Nov-00,0,,,7,0,6324,58,11,0,0,6737.55,6737.55,6375,362.55,0,0,0,2585.54,16-Jan
6000, 36 months,11.71,198.46,B,B3,1 year,RENT,90000,Not Verified,Fully Paid,2.97,1,7-May,0,16,,10,0,8489,56.6,23,0,0,7041.293751,7041.29,6000,1041.29,0,0,0,2082.79,14-Mar
11100, 36 months,6.62,340.82,A,A2,10+ years,RENT,41000,Verified,Charged Off,29.85,0,Jan-91,1,,,8,0,17518,62.3,18,0,0,8120.14,8120.14,6516.79,976.85,0,626.5,6.265000001,340.82,14-Mar
10000, 60 months,12.69,225.95,B,B5,2 years,MORTGAGE,56000,Source Verified,Fully Paid,10.82,0,Apr-00,1,,,11,0,10081,31.2,18,0,0,12727.42606,12727.43,10000,2727.43,0,0,0,5526.53,14-Sep
6200, 36 months,6.03,188.71,A,A1,5 years,MORTGAGE,26500,Not Verified,Fully Paid,18.2,0,Jun-00,0,,,6,0,2982,16,18,0,0,6793.070094,6793.07,6200,593.07,0,0,0,1.83,15-Jan
15000, 36 months,18.64,547.12,E,E1,1 year,RENT,54000,Not Verified,Fully Paid,19.69,0,6-Aug,2,,,9,0,15183,90.3,12,0,0,19401.71938,19401.72,15000,4401.72,0,0,0,4641.23,16-Jan
4200, 36 months,11.71,138.92,B,B3,2 years,RENT,53000,Not Verified,Fully Paid,16.91,0,2-Dec,0,60,,15,0,8336,79.7,22,0,0,5000.46251,5000.46,4200,800.46,0,0,0,141.26,15-Jun
14000, 36 months,14.27,480.33,C,C2,4 years,RENT,52800,Not Verified,Fully Paid,7.36,0,5-Feb,1,,,9,0,13378,70.8,14,0,0,14487.95,14487.95,14000,487.95,0,0,0,13531.87,12-Apr
8875, 36 months,7.51,276.11,A,A3,1 year,MORTGAGE,38000,Not Verified,Fully Paid,23.53,0,Jun-93,1,,,13,0,19056,62.1,27,0,0,9712.65,9712.65,8875,837.65,0,0,0,4472.8,13-Sep
13500, 36 months,9.91,435.04,B,B1,7 years,RENT,38000,Verified,Fully Paid,12.38,0,May-97,1,,,3,0,16023,67.3,7,0,0,15657.93938,15657.94,13500,2157.94,0,0,0,307.62,15-Jan
12000, 36 months,9.91,386.7,B,B1,2 years,RENT,42000,Not Verified,Charged Off,7.83,0,6-Jun,2,,,8,0,9749,65.4,16,0,0,11234.49,11234.49,9011.72,1807.88,0,414.89,4.148900002,386.7,15-Oct
16000, 60 months,19.91,423.11,E,E4,4 years,RENT,55000,Verified,Fully Paid,15.8,0,4-Feb,0,54,,8,0,7743,72.4,19,0,0,22277.26289,22242.46,16000,6277.26,0,0,0,10869.79,14-May
21600, 60 months,19.42,565.32,E,E3,8 years,MORTGAGE,60000,Source Verified,Fully Paid,16.74,1,Dec-90,0,23,,6,0,13354,78.1,21,0,0,27580.75,24853.63,21600,5980.75,0,0,0,17416.49,16-Jan
6000, 36 months,10.65,195.44,B,B2,6 years,MORTGAGE,87000,Not Verified,Fully Paid,12.86,2,Mar-00,0,9,,12,0,11739,40.5,22,0,0,6999.427407,6999.43,6000,999.43,0,0,0,1335.92,16-Jan
8450, 60 months,16.77,208.97,D,D2,5 years,OWN,25000,Verified,Fully Paid,22.51,0,4-Mar,2,,,6,0,17614,83.5,21,0,0,12188.56442,12152.55,8450,3738.56,0,0,0,3239.35,15-Sep
20000, 60 months,13.49,460.1,C,C1,1 year,RENT,82000,Not Verified,Fully Paid,17.68,0,Feb-95,0,,,13,0,26693,61.4,23,0,0,26397.31306,23747.15,20000,6397.31,0,0,0,9848.46,16-Jan
10000, 36 months,11.71,330.76,B,B3,8 years,RENT,60000,Not Verified,Charged Off,22.08,0,1-Jul,0,,,8,0,5626,29.3,26,0,0,6002.23,6002.23,4293.91,1388.86,0,319.46,57.5028,62.38,13-Nov
12000, 36 months,16.29,423.61,D,D1,5 years,MORTGAGE,80000,Verified,Fully Paid,18.18,0,2-Apr,0,,,8,0,29609,97.2,11,0,0,14946.56002,14946.56,12000,2946.56,0,0,0,4368.56,16-Jan
13475, 60 months,13.49,309.99,C,C1,10+ years,RENT,25000,Verified,Charged Off,21.89,0,1-Dec,1,,,7,0,9943,65.8,14,0,0,6198.89,6187.44,3516.74,2682.15,0,0,0,28,16-Jan
7200, 36 months,12.42,240.59,B,B4,5 years,RENT,48000,Not Verified,Fully Paid,17.43,0,6-Sep,1,,,7,0,16450,80.2,10,0,0,8677.15634,8677.16,7200,1462.16,15,0,0,19.26,15-Dec
5600, 36 months,14.65,193.17,C,C3,1 year,MORTGAGE,85000,Not Verified,Charged Off,12.24,1,May-99,3,11,,8,0,6812,90.8,31,0,0,1350.86,1350.86,905.39,445.47,0,0,0,193.17,16-Jan
12000, 36 months,14.27,411.71,C,C2,< 1 year,RENT,57000,Verified,Fully Paid,10.86,0,Aug-98,1,,,7,0,9273,81.5,11,0,0,14396.58,14366.62,12000,2396.58,0,0,0,5359.38,15-Nov
8500, 36 months,6.03,258.71,A,A1,2 years,RENT,25000,Not Verified,Fully Paid,1.73,0,5-Oct,0,,,6,0,2463,28,18,0,0,9074.73,9074.73,8500,574.73,0,0,0,4936.27,13-May
8000, 36 months,9.91,257.8,B,B1,2 years,RENT,34000,Source Verified,Fully Paid,18.28,0,5-Dec,0,,,6,0,7434,78.5,7,0,0,9279.812752,9279.81,8000,1279.81,0,0,0,262.31,16-Jan
8000, 36 months,12.42,267.33,B,B4,10+ years,RENT,40000,Not Verified,Fully Paid,15,0,4-May,0,,,10,0,18601,88.2,11,0,0,9622.78032,9622.78,8000,1622.78,0,0,0,269.73,15-Jan
16000, 60 months,15.27,382.92,C,C4,10+ years,RENT,42656.4,Source Verified,Fully Paid,17.44,0,1-Oct,1,,,4,0,12830,92.3,17,0,0,22394.08,11406.98,16000,6394.08,0,0,0,199.56,15-Nov
15000, 36 months,17.27,536.81,D,D3,2 years,MORTGAGE,44400,Source Verified,Fully Paid,3.59,1,Jun-83,0,18,93,6,1,4582,91.6,16,0,0,17991.53,17991.53,15000,2991.53,0,0,0,9412.4,16-Jan
10000, 36 months,9.91,322.25,B,B1,2 years,OWN,30000,Not Verified,Fully Paid,11.24,0,Feb-95,1,,,8,0,9152,66.8,30,0,0,11386.43022,11386.43,10000,1386.43,0,0,0,369.43,16-Jan
10000, 36 months,6.62,307.04,A,A2,5 years,MORTGAGE,70000,Not Verified,Fully Paid,16.78,0,Aug-94,0,,,9,0,10770,69,18,0,0,10902.91,10902.91,10000,902.91,0,0,0,4152.52,15-Aug
8000, 36 months,14.65,275.96,C,C3,3 years,RENT,28000,Not Verified,Fully Paid,12.6,0,6-Sep,1,,,8,0,6187,54.3,11,0,0,8636.82,8636.82,8000,636.82,0,0,0,6983.56,16-Jan
22000, 36 months,9.91,708.95,B,B1,2 years,MORTGAGE,50000,Verified,Fully Paid,13.22,0,Sep-98,4,,,17,0,21470,49.8,32,0,0,25521.09572,25521.1,22000,3521.1,0,0,0,1430.05,14-Dec
6000, 36 months,14.27,205.86,C,C2,10+ years,MORTGAGE,94800,Verified,Fully Paid,24.53,0,Mar-86,1,,,13,0,71890,95.9,30,0,0,7215.05,7215.05,6000,1215.05,0,0,0,1960.88,14-Jun
16000, 60 months,9.91,339.25,B,B1,10+ years,OWN,40000,Verified,Current,9.39,0,Jun-93,1,,,6,0,13270,28.5,23,3861.12,3855.09,16282.75,16257.31,12138.89,4143.86,0,0,0,339.25,16-Jan
2500, 36 months,7.51,77.78,A,A3,n/a,OWN,12000,Source Verified,Charged Off,16.3,0,Aug-94,2,,,13,0,4853,42.2,20,0,0,1838.88,1838.88,1575.06,253.74,0,10.08,0,77.78,16-Jan
13500, 36 months,9.91,435.04,B,B1,2 years,MORTGAGE,36000,Source Verified,Fully Paid,22.93,0,Apr-80,1,,,13,0,25011,67.2,15,0,0,15621.26606,15621.27,13500,2121.27,0,0,0,1706.24,16-Jan
25000, 36 months,12.42,835.39,B,B4,2 years,RENT,225000,Verified,Fully Paid,8.32,1,4-Jul,0,13,,11,0,30449,34.6,23,0,0,30071.72882,30071.73,25000,5071.73,0,0,0,842.08,14-Dec
10000, 36 months,13.49,339.31,C,C1,2 years,RENT,45900,Verified,Fully Paid,24.97,0,4-Oct,2,45,,10,0,8936,48.3,12,0,0,12174.48231,12174.48,10000,2174.48,0,0,0,1669.38,16-Jan
2500, 36 months,13.49,84.83,C,C1,4 years,RENT,27200,Not Verified,Fully Paid,6.44,0,8-Jul,0,,,6,0,3473,68.1,6,0,0,3050.276004,3050.28,2500,550.28,0,0,0,95.98,14-Dec
7325, 36 months,12.69,245.72,B,B5,1 year,RENT,42000,Not Verified,Fully Paid,22.57,0,May-96,3,65,,12,0,7281,65,29,0,0,8844.700842,8844.7,7325,1519.7,0,0,0,249.25,15-Jan
4000, 36 months,12.42,133.67,B,B4,5 years,RENT,135000,Verified,Fully Paid,12.12,0,4-Jan,3,,,11,0,29311,85.7,21,0,0,4337.11,4337.11,4000,337.11,0,0,0,3270.11,15-Nov
10000, 36 months,13.49,339.31,C,C1,5 years,RENT,65000,Not Verified,Charged Off,6.92,1,Dec-99,2,19,,12,0,14292,69.5,17,0,0,9270.84,9270.84,6799.56,2011.75,0,459.53,4.4878,339.31,14-Jul
7750, 36 months,17.27,277.36,D,D3,< 1 year,RENT,24000,Not Verified,Charged Off,16.1,0,4-Sep,1,41,,4,0,2348,67.1,7,0,0,6934,6934,4935.39,1986.7,0,11.91,0,277.36,16-Jan
20000, 60 months,20.89,539.84,F,F1,6 years,RENT,70000,Source Verified,Charged Off,16.63,0,2-Nov,1,,,10,0,10470,79.9,24,0,0,5425.96,5425.96,1318.27,3034.08,0,1073.61,10.48,591.09,13-Feb
9600, 36 months,12.42,320.79,B,B4,10+ years,RENT,65000,Verified,Fully Paid,11.65,0,2-Aug,0,,,6,0,11279,70.9,11,0,0,11337.71,11337.71,9600,1737.71,0,0,0,3643.9,16-Jan
21000, 60 months,11.71,464.07,B,B3,3 years,RENT,60000,Not Verified,Charged Off,6.62,0,Dec-90,0,,,7,0,10543,79.9,11,0,0,3708.24,3708.24,2142.87,1565.37,0,0,0,464.07,12-Aug
14000, 36 months,10.65,456.03,B,B2,3 years,RENT,30000,Source Verified,Fully Paid,15.52,0,6-Sep,0,,,7,0,15542,65.6,14,0,0,15200.08,15200.08,14000,1200.08,0,0,0,10643.16,12-Dec
13350, 36 months,12.42,446.1,B,B4,10+ years,RENT,43000,Not Verified,Fully Paid,20.57,0,May-99,0,,,7,0,11531,95.3,15,0,0,16058.39442,16058.39,13350,2708.39,0,0,0,449.39,16-Jan
15000, 36 months,16.77,533.08,D,D2,10+ years,RENT,42000,Verified,Charged Off,19.63,0,1-Aug,2,,,10,0,8238,74.9,38,0,0,13373.77,13373.77,8365.66,3923.4,0,1084.71,40.78310001,188.69,14-Apr
15000, 36 months,17.27,536.81,D,D3,8 years,RENT,75000,Source Verified,Charged Off,16.03,0,Mar-91,0,48,,10,0,13505,75.9,17,0,0,10198.4,10198.4,6944.85,3238.39,0,15.16,5.64,536.81,16-Jan
11000, 60 months,13.49,253.06,C,C1,10+ years,MORTGAGE,129000,Verified,Current,10.94,0,Nov-97,0,80,,10,0,1735,24.1,31,2841.5,2777.27,12119.38,11843.35,8158.5,3960.88,0,0,0,253.06,16-Jan
35000, 36 months,10.65,1140.07,B,B2,2 years,MORTGAGE,168000,Verified,Fully Paid,3.17,1,2-Dec,1,22,,16,0,1099,1.4,22,0,0,38059.76,38059.76,35000,3059.76,0,0,0,272.59,13-Sep
9000, 36 months,10.65,293.16,B,B2,9 years,MORTGAGE,74000,Source Verified,Fully Paid,8.89,0,Sep-98,0,,,7,0,7388,71.7,10,0,0,10552.7928,10552.79,9000,1552.79,0,0,0,6.65,16-Jan
22475, 60 months,15.27,537.87,C,C4,7 years,MORTGAGE,52000,Verified,Current,15.23,0,Sep-89,1,,,7,0,18554,61.8,23,5962.67,5949.34,25796.01,25738.74,16512.33,9283.68,0,0,0,537.87,16-Jan
16000, 36 months,12.69,536.72,B,B5,1 year,RENT,58500,Source Verified,Charged Off,20.64,0,Sep-94,0,,,8,0,26224,89.3,10,0,0,12295.72,12295.72,9479.47,2778.95,26.83551087,10.47,1.779900003,528.58,16-Jan
13500, 36 months,12.69,452.86,B,B5,5 years,RENT,71000,Source Verified,Fully Paid,11.97,0,Dec-98,2,,,4,0,6681,77.7,11,0,0,16301.54517,16301.55,13500,2801.55,0,0,0,456.95,14-Dec
24000, 36 months,12.69,805.08,B,B5,10+ years,RENT,75000,Verified,Fully Paid,11.6,0,May-96,0,,,10,0,21609,84.6,33,0,0,28978.67895,28978.68,24000,4978.68,0,0,0,819.13,16-Jan
12000, 36 months,10.65,390.88,B,B2,5 years,RENT,60000,Not Verified,Fully Paid,10.84,0,2-Jun,1,,,12,0,11849,48.8,18,0,0,14070.39864,14070.4,12000,2070.4,0,0,0,396.1,16-Jan
8400, 60 months,16.77,207.73,D,D2,5 years,RENT,87996,Not Verified,Current,11.35,0,3-Sep,0,,,8,0,9551,80.3,13,2295.64,2227.76,9940.54,9643.84,6104.36,3836.18,0,0,0,207.73,16-Jan
28000, 60 months,17.58,704.64,D,D4,5 years,MORTGAGE,140000,Verified,Fully Paid,12.07,0,6-Jul,1,,,13,0,2686,13.4,24,0,0,28411.15,28385.78,28000,411.15,0,0,0,28412.43,12-Jan
14000, 36 months,6.62,429.86,A,A2,10+ years,RENT,66000,Source Verified,Fully Paid,11.15,0,Sep-99,1,,,7,0,12095,35.4,46,0,0,15450.08422,15450.08,14000,1450.08,0,0,0,2133.17,14-Aug
12000, 36 months,14.27,411.71,C,C2,8 years,MORTGAGE,70000,Not Verified,Charged Off,8.4,0,5-Aug,1,,,7,0,11546,86.2,12,0,0,4241.16,4241.16,2534.26,1163.48,0,543.42,5.32,411.71,13-Feb
25000, 36 months,11.71,826.9,B,B3,10+ years,MORTGAGE,100000,Verified,Fully Paid,6.88,0,Dec-86,1,,,8,0,21128,89.1,18,0,0,29277.57384,29277.57,25000,4277.57,0,0,0,1122.55,14-Aug
9000, 36 months,12.69,301.91,B,B5,5 years,RENT,50000,Source Verified,Fully Paid,17.81,0,1-Dec,1,,,13,0,12752,55.4,21,0,0,10867.20998,10867.21,9000,1867.21,0,0,0,306.11,15-Sep
13250, 36 months,10.65,431.6,B,B2,4 years,RENT,35000,Not Verified,Fully Paid,24.93,0,2-Oct,2,,,11,0,13392,58.7,25,0,0,15535.93186,15535.93,13250,2285.93,0,0,0,437.68,16-Jan
20000, 36 months,13.49,678.61,C,C1,6 years,RENT,75000,Verified,Fully Paid,22.38,0,Nov-98,1,,,7,0,19548,90.8,17,0,0,23861.58,23861.58,20000,3861.58,0,0,0,8269.74,16-Jan
3000, 36 months,14.65,103.49,C,C3,5 years,RENT,71000,Verified,Fully Paid,21.84,0,3-Nov,1,59,,4,0,15072,88.7,14,0,0,3723.936325,3723.94,3000,723.94,0,0,0,107.29,16-Jan
7350, 36 months,10.65,239.42,B,B2,10+ years,MORTGAGE,48000,Not Verified,Fully Paid,11.93,0,6-Feb,0,,,5,0,15587,77.5,5,0,0,8616.33002,8616.33,7350,1266.33,0,0,0,249.88,16-Jan
11500, 36 months,15.27,400.18,C,C4,5 years,RENT,36000,Not Verified,Fully Paid,21.1,0,Aug-98,1,54,,7,0,8969,76.7,14,0,0,14400.49925,14400.5,11500,2900.5,0,0,0,416.2,15-Jun
13650, 36 months,12.42,456.12,B,B4,10+ years,MORTGAGE,86000,Not Verified,Charged Off,12.29,0,May-94,1,,,12,0,16140,73.4,34,0,0,8203.29,8203.29,5810.73,1931.92,0,460.64,4.64,456.12,13-Oct
10500, 36 months,16.29,370.66,D,D1,3 years,RENT,30000,Source Verified,Charged Off,15,0,7-Nov,1,,,7,0,5379,55.5,8,0,0,2222.16,2222.16,1414.89,807.27,0,0,0,370.66,16-Jan
12000, 36 months,9.91,386.7,B,B1,2 years,RENT,60000,Not Verified,Fully Paid,15.5,0,3-Jun,0,,,7,0,12168,85.7,21,0,0,13919.41387,13890.44,12000,1919.41,0,0,0,395.05,14-Dec
6000, 36 months,8.9,190.52,A,A5,3 years,RENT,34000,Not Verified,Fully Paid,14.51,0,4-Nov,2,,,9,0,13683,64.8,16,0,0,6857.261151,6857.26,6000,857.26,0,0,0,198.16,14-Dec
11500, 36 months,15.27,400.18,C,C4,10+ years,MORTGAGE,44200,Verified,Fully Paid,21.69,0,4-Aug,1,,,9,0,13147,90,11,0,0,13598.01,13598.01,11500,2098.01,0,0,0,6821.51,16-Jan
7000, 36 months,12.42,233.91,B,B4,7 years,MORTGAGE,82000,Not Verified,Fully Paid,12,0,2-Jun,1,79,,6,0,25334,71.6,31,0,0,8290.73,8290.73,7000,1290.73,0,0,0,2454.29,16-Jan
29500, 60 months,20.3,786.51,E,E5,6 years,MORTGAGE,83000,Source Verified,Fully Paid,20.93,0,Dec-90,0,,,12,0,22087,89.8,35,0,0,45755.22998,43294.39,29500,16255.23,0,0,0,9781.44,16-Jan
2000, 36 months,15.27,69.6,C,C4,2 years,RENT,41000,Verified,Fully Paid,17.74,0,4-Jun,1,,,7,0,18115,96.4,11,0,0,2520.4,2520.4,2000,505.4,15,0,0,15.88,16-Jan
11625, 36 months,13.49,394.45,C,C1,< 1 year,MORTGAGE,36000,Source Verified,Fully Paid,19.33,0,Feb-93,1,,,17,0,19979,84.7,31,0,0,14196.26824,14196.27,11625,2571.27,0,0,0,406.12,16-Jan
15075, 36 months,14.27,517.21,C,C2,10+ years,RENT,35000,Verified,Charged Off,20.16,0,Aug-00,1,,,7,0,10570,89.6,14,0,0,15502.77,15502.77,11609.04,3374.45,0,519.28,5.036800002,517.21,14-Oct
5300, 36 months,15.27,184.43,C,C4,1 year,RENT,30000,Verified,Fully Paid,24.88,0,5-Jun,2,,,11,0,7855,82.7,13,0,0,6622.546709,6622.55,5300,1322.55,0,0,0,741.85,16-Jan
8200, 36 months,6.62,251.77,A,A2,< 1 year,RENT,40000,Source Verified,Fully Paid,11.1,0,Oct-00,1,,,7,0,2573,25.5,11,0,0,9062.49784,9062.5,8200,862.5,0,0,0,260.69,16-Jan
12000, 36 months,12.42,400.99,B,B4,9 years,MORTGAGE,105000,Not Verified,Fully Paid,13.98,0,Nov-91,1,65,,10,0,11243,75,25,0,0,14431.97856,14431.98,12000,2431.98,0,0,0,413.19,15-Dec
8650, 36 months,14.27,296.78,C,C2,4 years,MORTGAGE,45000,Source Verified,Fully Paid,7.6,0,5-May,2,44,,14,0,6602,58.9,23,0,0,10678.68477,10678.68,8650,2028.68,0,0,0,312.44,14-Dec
11800, 60 months,17.27,294.98,D,D3,10+ years,MORTGAGE,109000,Verified,Current,7.75,0,Dec-73,0,,,9,0,25435,50.3,16,3250.78,3168.42,14117.18,13757.71,8549.22,5567.96,0,0,0,294.98,16-Jan
16000, 60 months,17.27,399.97,D,D3,2 years,RENT,50000,Source Verified,Current,11.04,0,1-May,0,64,,10,0,15788,42.2,16,4386.9,4386.9,19183.22,19183.22,11613.1,7570.12,0,0,0,399.97,16-Jan
12000, 36 months,12.42,400.99,B,B4,2 years,RENT,83000,Not Verified,Fully Paid,11.81,0,1-Aug,2,52,,14,0,16550,51.1,61,0,0,14432.31018,14402.27,12000,2432.31,0,0,0,411.96,16-Jan
9500, 36 months,12.69,318.68,B,B5,< 1 year,MORTGAGE,52500,Source Verified,Charged Off,23.54,0,Jul-99,2,,,14,0,23729,75.3,42,0,0,7002.16,7002.16,5366.65,1635.51,0,0,0,318.68,16-Jan
7400, 36 months,13.49,251.09,C,C1,< 1 year,OWN,25000,Source Verified,Fully Paid,8.45,0,Mar-90,0,,,5,0,5199,92.8,13,0,0,9037.69568,9037.7,7400,1637.7,0,0,0,255.3,15-Dec
14400, 36 months,13.49,488.6,C,C1,10+ years,MORTGAGE,60000,Not Verified,Fully Paid,16.92,0,Mar-96,1,57,,15,0,23317,65,26,0,0,15453.51,15453.51,14400,1053.51,0,0,0,12526.96,15-Nov
18100, 60 months,23.91,519.76,G,G4,7 years,MORTGAGE,120000,Verified,Fully Paid,12.96,0,Apr-00,3,,,7,0,31992,99,20,0,0,22188.25,22157.63,18100,4088.25,0,0,0,16499.75,14-Sep
7200, 36 months,7.9,225.29,A,A4,3 years,RENT,68000,Source Verified,Charged Off,7.98,0,2-Jan,0,,,5,0,8783,82.9,14,0,0,7730.87,7730.87,6744.17,907.62,14.97905838,64.1,11.538,225.29,15-Apr
26000, 60 months,16.77,642.96,D,D2,10+ years,MORTGAGE,53000,Verified,Charged Off,11.77,0,Sep-98,1,,,5,0,7560,72.7,14,0,0,9622.45,9613.3,3946.3,4391.9,0,1284.25,12.27,642.96,13-Jun
7000, 60 months,11.71,154.69,B,B3,6 years,MORTGAGE,69600,Verified,Charged Off,26.22,0,Oct-79,0,,,10,0,45449,90.9,23,0,0,6126.24,6104.36,3452.36,1790.2,0,883.68,156.0204,154.69,15-Jan
4000, 36 months,7.51,124.45,A,A3,< 1 year,RENT,65000,Source Verified,Fully Paid,18.17,0,2-Oct,0,,,10,0,10032,50.7,24,0,0,4182.25,4182.25,4000,182.25,0,0,0,3313.87,16-Jan
1500, 36 months,17.27,53.69,D,D3,10+ years,MORTGAGE,144000,Verified,Fully Paid,8.23,1,Dec-96,0,14,,6,0,14186,97.8,14,0,0,1521.6,1521.6,1500,21.6,0,0,0,1521.89,12-Feb
19600, 36 months,12.42,654.94,B,B4,2 years,RENT,75000,Verified,Fully Paid,11.62,0,6-Sep,0,,,8,0,20355,50.1,12,0,0,21993.62,21993.62,19600,2393.62,0,0,0,13491.06,16-Jan
2500, 36 months,11.71,82.69,B,B3,7 years,MORTGAGE,29000,Verified,Fully Paid,18.7,0,5-Sep,0,63,,5,0,2668,66.7,13,0,0,2894.74,2894.74,2500,394.74,0,0,0,1168.5,16-Jan
10000, 36 months,12.69,335.45,B,B5,2 years,RENT,70000,Not Verified,Charged Off,2.69,0,Oct-00,0,,,5,0,6035,70.2,6,0,0,6351.59,6351.59,4513.35,1505.13,0,333.11,3.1464,335.45,13-Dec
10000, 36 months,6.62,307.04,A,A2,5 years,RENT,45000,Not Verified,Fully Paid,26.85,0,Jun-81,0,,,15,0,10133,70.4,40,0,0,11051.5238,11051.52,10000,1051.52,0,0,0,319.94,14-Dec
4225, 36 months,12.42,141.18,B,B4,5 years,MORTGAGE,55200,Not Verified,Fully Paid,17.61,0,2-Dec,1,,,6,0,4055,73.7,12,0,0,5081.022961,5081.02,4225,856.02,0,0,0,146.48,14-Dec
3500, 36 months,7.9,109.52,A,A4,7 years,MORTGAGE,61440,Not Verified,Fully Paid,6.46,1,Jan-97,0,9,,6,0,15472,55.5,19,0,0,3942.078528,3942.08,3500,442.08,0,0,0,3.62,16-Jan
12000, 36 months,6.62,368.45,A,A2,10+ years,MORTGAGE,56000,Not Verified,Fully Paid,13.65,0,May-00,0,,,7,0,9873,80.3,21,0,0,13262.20515,13262.21,12000,1262.21,0,0,0,381.02,15-Jan
16500, 36 months,8.9,523.93,A,A5,< 1 year,RENT,47000,Source Verified,Fully Paid,9.06,0,1-Mar,1,,,6,0,13917,38.8,24,0,0,18856.75782,18856.76,16500,2356.76,0,0,0,1053.02,16-Jan
