Project ID,Opportunity Owner,Account Name,Stage, Amount ,Expected Revenue,Probability,Service Category,Service Line,Stage Number,New Business,Account Type,Billing Type,MSA Signed,Unsolicited Proposal,Deliverable Type
1949,James Jarvis,Argos Limited,No bid / Retraction,100000,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
1950,James Jarvis,National Grid plc,No bid / Retraction,1000000,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1951,James Jarvis,Trainline Investments Holdings Ltd.,No bid / Retraction,1000000,0,0,Infrastructure Management,Infrastructure Management Services,-2,0,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1952,James Jarvis,GAME Group plc,No bid / Retraction,250000,0,0,Functional Testing,Quality and Testing,-2,1,Europe BU,Per Transaction,0,No,Managed Services / SLA Based
1953,James Jarvis,J Sainsbury plc,No bid / Retraction,250000,0,0,Application Management,Application Managed Services,-2,0,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1954,James Jarvis,BAA plc,Opportunity Closed LOST,1000000,0,0,Application Management,Application Managed Services,-1,0,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1955,James Jarvis,Freshfields Bruckhaus Deringer LLP,No bid / Retraction,40800,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Flat Fee Monthly,0,No,Scope of Work / Project
1956,James Jarvis,Standard Bank London Holdings Plc,No bid / Retraction,300000,0,0,Application Management,Application Managed Services,-2,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1957,James Jarvis,First Group,No bid / Retraction,1,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Fixed Bid,0,No,Managed Services / SLA Based
1958,James Jarvis,Linklaters LLP,No bid / Retraction,1,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1959,James Jarvis,The Penguin Group (Pearson),No bid / Retraction,1,0,0,Infrastructure Management,Infrastructure Management Services,-2,1,Europe BU,Per Transaction,0,No,Managed Services / SLA Based
1960,James Jarvis,BT Group plc,Opportunity Closed LOST,1,0,0,Application Management,Application Managed Services,-1,1,Europe BU,Fixed Bid,0,No,Managed Services / SLA Based
1961,James Jarvis,Cable and Wireless plc,Opportunity Closed LOST,1,0,0,Salesforce.com Systems,Enterprise Solutions,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1962,James Jarvis,Cable and Wireless plc,Opportunity Closed LOST,1,0,0,Portfolio Management,Consulting,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1963,James Jarvis,Anglian Water,Opportunity Closed LOST,250000,0,0,Application Management,Application Managed Services,-1,1,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1964,James Jarvis,Bright House,Opportunity Closed LOST,1587600,0,0,Application Management,Application Managed Services,-1,1,Europe BU,Time and Expense,0,No,Scope of Work / Project
1965,James Jarvis,Cable and Wireless plc,No bid / Retraction,250000,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Fixed Bid,0,No,Managed Services / SLA Based
1966,James Jarvis,Scottish and Southern Energy plc,Opportunity Closed LOST,500000,0,0,Performance Testing,Quality and Testing,-1,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1967,James Jarvis,Virgin Money Holdings (Uk) Ltd.,No bid / Retraction,250000,0,0,Domain-specific Testing,Quality and Testing,-2,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1968,James Jarvis,Primark Stores Ltd.,No bid / Retraction,166635,0,0,Test Automation,Quality and Testing,-2,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1969,James Jarvis,Freshfields Bruckhaus Deringer LLP,No bid / Retraction,9000,0,0,Application Management,Application Managed Services,-2,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1970,James Jarvis,Reed Elsevier Group plc,No bid / Retraction,895104,0,0,Application Management,Application Managed Services,-2,1,Europe BU,Flat Fee Monthly,0,No,Managed Services / SLA Based
1971,James Jarvis,Thomson Reuters PLC,Opportunity Closed LOST,80000,0,0,Infrastructure Management,Infrastructure Management Services,-1,0,Europe BU,Flat Fee Monthly,0,No,Staff Augmentation
1972,James Jarvis,Argos Limited,No bid / Retraction,125000,0,0,Application Management,Application Managed Services,-2,0,Europe BU,Time and Expense,0,No,Staff Augmentation
1973,James Jarvis,Argos Limited,No bid / Retraction,125000,0,0,Application Testing,Quality and Testing,-2,0,Europe BU,Time and Expense,0,No,Staff Augmentation
1974,James Jarvis,Clifford Chance LLP,No bid / Retraction,10000000,0,0,Organization and Process Improvement,Consulting,-2,0,Europe BU,Fixed Bid,0,No,Managed Services / SLA Based
1975,James Jarvis,Hutchison 3G UK Limited,No bid / Retraction,50000,0,0,Application Testing,Quality and Testing,-2,0,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1976,James Jarvis,Reed Elsevier Group plc,Signed Contract,34650,34650,1,Application Management,Application Managed Services,8,1,Europe BU,Time and Expense,0,No,Staff Augmentation
1977,James Jarvis,Scottish and Southern Energy plc,No bid / Retraction,47000,0,0,Application Testing,Quality and Testing,-2,0,Europe BU,Time and Expense,0,No,Staff Augmentation
1978,James Jarvis,RSA Group,No bid / Retraction,3000000,0,0,Application Testing,Quality and Testing,-2,1,Europe BU,Fixed Bid,0,No,Managed Services / SLA Based
1979,James Jarvis,Reed Elsevier Group plc,Signed Contract,34720,34720,1,Application Management,Application Managed Services,8,1,Europe BU,Time and Expense,0,No,Staff Augmentation
1980,James Jarvis,Alliance Boots Holdings Ltd.,Execution Complete,47100,47100,1,Domain-specific Testing,Quality and Testing,-3,0,Europe BU,Fixed Bid,1,No,Scope of Work / Project
1981,James Jarvis,UBS,No bid / Retraction,25000,0,0,Enterprise Architecture,Consulting,-2,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
1982,James Jarvis,Network Rail,No bid / Retraction,150000,0,0,Portfolio Management,Consulting,-2,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
1983,James Jarvis,Virgin America,No bid / Retraction,100000,0,0,Infrastructure Management,Infrastructure Management Services,-2,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
1984,James Jarvis,Reed Elsevier Group plc,No bid / Retraction,25000,0,0,Data Integration,Business Intelligence and Data Management,-2,0,Europe BU,Time and Expense,0,No,Staff Augmentation
1985,James Jarvis,Reed Elsevier Group plc,Signed Contract,31500,31500,1,Salesforce.com Systems,Enterprise Solutions,8,0,Europe BU,Time and Expense,0,No,Staff Augmentation
1986,James Jarvis,AXA,No bid / Retraction,250000,0,0,PeopleSoft Systems,Enterprise Solutions,-2,0,Europe BU,Time and Expense,0,No,Scope of Work / Project
1987,Jay Kuderka,"Tickets.com, Inc.",No bid / Retraction,100000,0,0,Infrastructure Management,Infrastructure Management Services,-2,1,US-West BU,Time and Expense,0,Yes,Staff Augmentation
1988,Jay Kuderka,Capital Group Companies Inc.,No bid / Retraction,250000,0,0,Legacy Modernization,Consulting,-2,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
1989,Jay Kuderka,"Tickets.com, Inc.",No bid / Retraction,75000,0,0,Database Management,Infrastructure Management Services,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
1990,Jay Kuderka,"Tickets.com, Inc.",Signed Contract,1025734,1025734,1,Functional Testing,Quality and Testing,8,0,US-West BU,Time and Expense,0,No,Staff Augmentation
1991,Jay Kuderka,Sony Pictures,Opportunity Closed LOST,352175,0,0,Application Management,Application Managed Services,-1,1,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
1992,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,153000,0,0,SAP Systems,Enterprise Solutions,-2,0,US-West BU,Time and Expense,0,No,Staff Augmentation
1993,Jay Kuderka,Major League Baseball,No bid / Retraction,450000,0,0,Test Automation,Quality and Testing,-2,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
1994,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,200000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
1995,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,120000,0,0,Business and Domain Consulting,Consulting,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
1996,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,25000,25000,1,Organization and Process Improvement,Consulting,8,1,US-West BU,Fixed Bid,0,Yes,Scope of Work / Project
1997,Jay Kuderka,Sony Pictures,Opportunity Closed LOST,15000000,0,0,Application Management,Application Managed Services,-1,1,US-West BU,Flat Fee Monthly,1,Yes,Scope of Work / Project
1998,Jay Kuderka,"Tickets.com, Inc.",No bid / Retraction,0,0,0,Database Management,Infrastructure Management Services,-2,1,US-West BU,Time and Expense,0,Yes,Scope of Work / Project
1999,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,175000,0,0,QA Consulting,Quality and Testing,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2000,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,30000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2001,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,110000,0,0,Organization and Process Improvement,Consulting,-1,0,US-West BU,Time and Expense,0,No,Staff Augmentation
2002,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,75000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2003,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,102000,0,0,Salesforce.com Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2004,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,92000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2005,Jay Kuderka,"Tickets.com, Inc.",Signed Contract,46648,46648,1,Functional Testing,Quality and Testing,8,0,US-West BU,Time and Expense,0,No,Staff Augmentation
2006,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,36000,0,0,Enterprise Architecture,Consulting,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2007,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,1500000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
2008,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,30000,0,0,Business and Domain Consulting,Consulting,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2009,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,250000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
2010,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,1036960,1036960,1,Application Management,Application Managed Services,8,1,US-West BU,Flat Fee Monthly,0,No,Scope of Work / Project
2011,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,50000,0,0,Business Analytics,Consulting,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2012,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,75416,75416,1,Functional Testing,Quality and Testing,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2013,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,37600,37600,1,Information Security,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2014,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,20000,0,0,Business and Domain Consulting,Consulting,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2015,Jay Kuderka,Sony Pictures,Signed Contract,31605,31605,1,JD Edwards Systems,Enterprise Solutions,8,1,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
2016,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,120960,120960,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2017,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,60000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2018,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,45000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2019,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,85440,85440,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2020,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,225000,0,0,Business and Domain Consulting,Consulting,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2021,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,58880,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2022,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,240000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2023,Jay Kuderka,Sony Pictures,Signed Contract,25000,25000,1,JD Edwards Systems,Enterprise Solutions,8,1,US-West BU,Time and Expense,1,No,Staff Augmentation
2024,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,799982,0,0,Other Enterprise Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
2025,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,200000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2026,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,250000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2027,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,185000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2028,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,165000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2029,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,235000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2030,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,165000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2031,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,185000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2032,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,165000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2033,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,94080,94080,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2034,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,45000,0,0,Business Analytics,Consulting,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2035,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,210000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2036,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,180000,0,0,QA Consulting,Quality and Testing,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2037,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,200000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2038,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,0,0,0,Business and Domain Consulting,Consulting,-2,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
2039,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,120000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2040,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,110000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2041,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,10500,10500,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2042,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,80080,80080,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2043,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,60000,0,0,Enterprise Architecture,Consulting,-2,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
2044,Jay Kuderka,Sony Pictures,No bid / Retraction,31956.41,0,0,JD Edwards Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,1,No,Scope of Work / Project
2045,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,105000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2046,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,105000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2047,Jay Kuderka,Sony Pictures,Signed Contract,7817,7817,1,JD Edwards Systems,Enterprise Solutions,8,1,US-West BU,Time and Expense,1,No,Staff Augmentation
2048,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,150000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2049,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,19888,19888,1,Enterprise 2.0 Strategies,Consulting,8,1,US-West BU,Time and Expense,0,Yes,Scope of Work / Project
2050,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,161280,0,0,Application Management,Application Managed Services,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2051,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,46000,46000,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2052,Jay Kuderka,Sony Pictures,No bid / Retraction,52000,0,0,JD Edwards Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,1,No,Staff Augmentation
2053,Jay Kuderka,"Princess Cruise Lines, Ltd.",Signed Contract,0,0,0,Business Intelligence And Reporting,Business Intelligence and Data Management,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2054,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,-37600,-37600,1,Business and Domain Consulting,Consulting,8,0,US-West BU,Time and Expense,0,No,Staff Augmentation
2055,Jay Kuderka,Sony Pictures,No bid / Retraction,1000000,0,0,QA Consulting,Quality and Testing,-2,1,US-West BU,Fixed Bid,1,Yes,Managed Services / SLA Based
2056,Jay Kuderka,Sony Pictures,Signed Contract,3000,3000,1,JD Edwards Systems,Enterprise Solutions,8,1,US-West BU,Time and Expense,1,No,Scope of Work / Project
2057,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,120000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2058,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,10000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2059,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,150000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2060,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,150000,0,0,SAP Systems,Enterprise Solutions,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2061,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,120000,120000,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2062,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,95000,0,0,Organization and Process Improvement,Consulting,-2,1,US-West BU,Fixed Bid,0,No,Scope of Work / Project
2063,Jay Kuderka,"Tickets.com, Inc.",No bid / Retraction,50000,0,0,Application Management,Application Managed Services,-2,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
2064,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,30130,30130,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2065,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,191520,0,0,Business and Domain Consulting,Consulting,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2066,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,374000,0,0,Application Management,Application Managed Services,-2,0,US-West BU,Fixed Bid,0,Yes,Managed Services / SLA Based
2067,Jay Kuderka,Sony Pictures,No bid / Retraction,374000,0,0,Application Management,Application Managed Services,-2,0,US-West BU,Fixed Bid,1,Yes,Managed Services / SLA Based
2068,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,40000,0,0,Database Management,Infrastructure Management Services,-2,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
2069,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,313000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Flat Fee Monthly,0,No,Scope of Work / Project
2070,Jay Kuderka,Sony Pictures,No bid / Retraction,200000,0,0,Business and Domain Consulting,Consulting,-2,1,US-West BU,Time and Expense,1,No,Staff Augmentation
2071,Jay Kuderka,Sony Pictures,Signed Contract,35776,35776,1,JD Edwards Systems,Enterprise Solutions,8,1,US-West BU,Time and Expense,1,No,Staff Augmentation
2072,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,0,0,0,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2073,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,400000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Scope of Work / Project
2074,Jay Kuderka,Time Warner,No bid / Retraction,45000,0,0,Application Management,Application Managed Services,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2075,Jay Kuderka,"Tickets.com, Inc.",Signed Contract,46648,46648,1,Functional Testing,Quality and Testing,8,0,US-West BU,Time and Expense,0,No,Scope of Work / Project
2076,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,35000,0,0,SAP Systems,Enterprise Solutions,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2077,Jay Kuderka,Warner Bros. Entertainment Inc.,Verbal Agreement,1749558,1574602.2,1,Application Management,Application Managed Services,7,1,US-West BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
2078,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,0,0,0,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2079,Jay Kuderka,Warner Bros. Entertainment Inc.,No bid / Retraction,200000,0,0,Business and Domain Consulting,Consulting,-2,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2080,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,105000,105000,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,Yes,Staff Augmentation
2081,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,61056,61056,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2082,Jay Kuderka,"Tickets.com, Inc.",Verbal Agreement,841910,757719,1,Application Testing,Quality and Testing,7,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2083,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,27200,27200,1,Business and Domain Consulting,Consulting,8,0,US-West BU,Time and Expense,0,No,Staff Augmentation
2084,Jay Kuderka,Warner Bros. Entertainment Inc.,Signed Contract,31200,31200,1,Business and Domain Consulting,Consulting,8,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2085,Jay Kuderka,Warner Bros. Entertainment Inc.,Opportunity Closed LOST,71000,0,0,Domain-specific Testing,Quality and Testing,-1,1,US-West BU,Time and Expense,0,No,Staff Augmentation
2086,Jayesh Menon,Fiserv,Execution Complete,11000,11000,1,Performance Testing,Quality and Testing,-3,0,US-East BU,Fixed Bid,1,No,Scope of Work / Project
2087,Jayesh Menon,Progress Energy Inc,Execution Complete,0,0,0,Other Enterprise Systems,Enterprise Solutions,-3,0,US-East BU,Internal,0,No,Scope of Work / Project
2088,Jayesh Menon,Exelon,Execution Complete,0,0,0,Application Management,Application Managed Services,-3,0,US-Central BU,Internal,0,No,Scope of Work / Project
2089,Jayesh Menon,WellCare Health Plans,Signed Contract,28000,28000,1,Infrastructure Management,Infrastructure Management Services,8,0,US-East BU,Flat Fee Monthly,1,No,Staff Augmentation
2090,Jayesh Menon,FMR LLC,Signed Contract,33480,33480,1,Business Intelligence And Reporting,Business Intelligence and Data Management,8,0,US-East BU,Time and Expense,1,No,Staff Augmentation
2091,Jayesh Menon,Exelon,Signed Contract,117000,117000,1,QA Consulting,Quality and Testing,8,0,US-Central BU,Flat Fee Monthly,0,No,Scope of Work / Project
2092,Jayesh Menon,FMR LLC,Signed Contract,16000,16000,1,QA Consulting,Quality and Testing,8,0,US-East BU,Fixed Bid,1,Yes,Scope of Work / Project
2093,Jeremy McClellan,Costco Wholesale Corporation,No bid / Retraction,100000,0,0,Performance Testing,Quality and Testing,-2,0,US-West BU,Flat Fee Monthly,1,No,Managed Services / SLA Based
2094,Jeremy McClellan,Costco Wholesale Corporation,No bid / Retraction,250000,0,0,QA Consulting,Quality and Testing,-2,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
2095,Jeremy McClellan,Costco Wholesale Corporation,No bid / Retraction,100000,0,0,Performance Testing,Quality and Testing,-2,0,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
2096,Jeremy McClellan,Costco Wholesale Corporation,No bid / Retraction,100000,0,0,Infrastructure Management,Infrastructure Management Services,-2,1,US-West BU,Flat Fee Monthly,1,No,Scope of Work / Project
2097,Jeremy McClellan,Costco Wholesale Corporation,Execution Complete,42240,42240,1,Performance Testing,Quality and Testing,-3,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
2098,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,82748,82748,1,Functional Testing,Quality and Testing,8,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
2099,Jeremy McClellan,"PetSmart, Inc.",Signed Contract,-20640,-20640,1,Business Intelligence And Reporting,Business Intelligence and Data Management,8,0,US-West BU,Flat Fee Monthly,0,No,Staff Augmentation
2100,Jeremy McClellan,Costco Wholesale Corporation,Signed Contract,73300,73300,1,Functional Testing,Quality and Testing,8,0,US-West BU,Flat Fee Monthly,1,No,Staff Augmentation
2101,Jeremy McClellan,Costco Wholesale Corporation,No bid / Retraction,200000,0,0,Application Management,Application Managed Services,-2,0,US-West BU,Time and Expense,1,No,Scope of Work / Project
2102,Jeremy McClellan,"drugstore.com, inc.",Signed Contract,55036,55036,1,Application Management,Application Managed Services,8,0,US-West BU,Flat Fee Monthly,0,No,Staff Augmentation
